query_repository,method,rank,recommended_repository,description,stars,forks,issues
tensorflow,semantic,1,awesome-machine-learning,"A curated list of awesome Machine Learning frameworks, libraries and software.",60101,14187,1
tensorflow,semantic,2,caffe,Caffe: a fast open framework for deep learning.,33558,18981,1181
tensorflow,semantic,3,scikit-learn,scikit-learn: machine learning in Python,55881,24667,2240
tensorflow,semantic,4,opencv,Open Source Computer Vision Library,71279,55603,2526
tensorflow,semantic,5,transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",112153,22276,811
tensorflow,graph,1,caffe,Caffe: a fast open framework for deep learning.,33558,18981,1181
tensorflow,graph,2,gym,A toolkit for developing and comparing reinforcement learning algorithms.,32743,8589,71
tensorflow,graph,3,transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",112153,22276,811
tensorflow,graph,4,scikit-learn,scikit-learn: machine learning in Python,55881,24667,2240
tensorflow,graph,5,faceswap,Deepfakes Software For All,47086,12647,23
tensorflow,hybrid,1,caffe,Caffe: a fast open framework for deep learning.,33558,18981,1181
tensorflow,hybrid,2,awesome-machine-learning,"A curated list of awesome Machine Learning frameworks, libraries and software.",60101,14187,1
tensorflow,hybrid,3,scikit-learn,scikit-learn: machine learning in Python,55881,24667,2240
tensorflow,hybrid,4,transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",112153,22276,811
tensorflow,hybrid,5,opencv,Open Source Computer Vision Library,71279,55603,2526
react,semantic,1,ionic-framework,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",49487,13666,430
react,semantic,2,lodash,"A modern JavaScript utility library delivering modularity, performance, & extras.",57483,7086,3
react,semantic,3,react-native,A framework for building native applications using React,112057,23820,1649
react,semantic,4,awesome-javascript,"🐢 A collection of awesome browser-side  JavaScript libraries, resources and shiny things.",31304,4325,43
react,semantic,5,angular,The modern web developer’s platform,90337,24264,1524
react,graph,1,react-native,A framework for building native applications using React,112057,23820,1649
react,graph,2,ant-design,An enterprise-class UI design language and React UI library,87612,41795,1015
react,graph,3,Semantic-UI,Semantic is a UI component framework based around useful principles from natural language.,50763,5102,1076
react,graph,4,lottie-android,"Render After Effects animations natively on Android and iOS, Web, and React Native",34238,5389,37
react,graph,5,svelte,Cybernetically enhanced web apps,72642,4013,869
react,hybrid,1,react-native,A framework for building native applications using React,112057,23820,1649
react,hybrid,2,ant-design,An enterprise-class UI design language and React UI library,87612,41795,1015
react,hybrid,3,ionic-framework,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",49487,13666,430
react,hybrid,4,bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",165352,78906,477
react,hybrid,5,lodash,"A modern JavaScript utility library delivering modularity, performance, & extras.",57483,7086,3
vue,semantic,1,vuetify,🐉 Vue Component Framework,37958,6895,724
vue,semantic,2,element,A Vue.js 2.0 UI Toolkit for Web,53678,14673,2629
vue,semantic,3,awesome-vue,🎉 A curated list of awesome things related to Vue.js,69509,9447,40
vue,semantic,4,uni-app,A cross-platform framework using Vue.js,38609,3556,1219
vue,semantic,5,vue-element-admin,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin,84040,30201,1310
vue,graph,1,vuetify,🐉 Vue Component Framework,37958,6895,724
vue,graph,2,nuxt,"Nuxt is an intuitive and extendable way to create type-safe, performant and production-grade full-stack web apps and websites with Vue 3.",47504,4365,964
vue,graph,3,vue-element-admin,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin,84040,30201,1310
vue,graph,4,awesome-vue,🎉 A curated list of awesome things related to Vue.js,69509,9447,40
vue,graph,5,element,A Vue.js 2.0 UI Toolkit for Web,53678,14673,2629
vue,hybrid,1,vuetify,🐉 Vue Component Framework,37958,6895,724
vue,hybrid,2,vue-element-admin,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin,84040,30201,1310
vue,hybrid,3,awesome-vue,🎉 A curated list of awesome things related to Vue.js,69509,9447,40
vue,hybrid,4,element,A Vue.js 2.0 UI Toolkit for Web,53678,14673,2629
