mode,query_repository,method,relevant_repositories,recommended_repositories,relevant_hits,precision_at_5,recall_at_5,hit_at_5,first_relevant_rank,reciprocal_rank
leave_one_out,freeCodeCamp,semantic,freecodecamp.cn|app-ideas|project-based-learning|first-contributions|build-your-own-x|free-programming-books|brackets|HelloGitHub|awesome-rust|Best-websites-a-programmer-should-visit,freecodecamp.cn|app-ideas|first-contributions|project-based-learning|build-your-own-x,5,1.0,0.5,1,1.0,1.0
leave_one_out,freeCodeCamp,graph,freecodecamp.cn|app-ideas|project-based-learning|first-contributions|build-your-own-x|free-programming-books|brackets|HelloGitHub|awesome-rust|Best-websites-a-programmer-should-visit,build-your-own-x|first-contributions|app-ideas|Ghost|iptv,3,0.6,0.3,1,1.0,1.0
leave_one_out,freeCodeCamp,hybrid,freecodecamp.cn|app-ideas|project-based-learning|first-contributions|build-your-own-x|free-programming-books|brackets|HelloGitHub|awesome-rust|Best-websites-a-programmer-should-visit,freecodecamp.cn|build-your-own-x|free-programming-books|first-contributions|developer-roadmap,4,0.8,0.4,1,1.0,1.0
leave_one_out,freeCodeCamp,ollama,freecodecamp.cn|app-ideas|project-based-learning|first-contributions|build-your-own-x|free-programming-books|brackets|HelloGitHub|awesome-rust|Best-websites-a-programmer-should-visit,free-programming-books|awesome|coding-interview-university|public-apis|996.ICU,1,0.2,0.1,1,1.0,1.0
leave_one_out,free-programming-books,semantic,awesome-courses|Best-websites-a-programmer-should-visit|computer-science|cpython|freeCodeCamp|cs-video-courses|build-your-own-x|go|awesome-cpp|kotlin,awesome-courses|computer-science|Best-websites-a-programmer-should-visit|freeCodeCamp|cpython,5,1.0,0.5,1,1.0,1.0
leave_one_out,free-programming-books,graph,awesome-courses|Best-websites-a-programmer-should-visit|computer-science|cpython|freeCodeCamp|cs-video-courses|build-your-own-x|go|awesome-cpp|kotlin,computer-science|coding-interview-university|cs-video-courses|build-your-own-x|papers-we-love,3,0.6,0.3,1,1.0,1.0
leave_one_out,free-programming-books,hybrid,awesome-courses|Best-websites-a-programmer-should-visit|computer-science|cpython|freeCodeCamp|cs-video-courses|build-your-own-x|go|awesome-cpp|kotlin,awesome-courses|computer-science|freeCodeCamp|coding-interview-university|build-your-own-x,4,0.8,0.4,1,1.0,1.0
leave_one_out,free-programming-books,ollama,awesome-courses|Best-websites-a-programmer-should-visit|computer-science|cpython|freeCodeCamp|cs-video-courses|build-your-own-x|go|awesome-cpp|kotlin,freeCodeCamp|awesome|coding-interview-university|public-apis|developer-roadmap,1,0.2,0.1,1,1.0,1.0
leave_one_out,awesome,semantic,awesome-awesomeness|the-book-of-secret-knowledge|awesome-ios|awesome-javascript|awesome-android-ui|awesome-flutter|awesome-cpp|Awesome-Hacking|awesome-python|awesome-vue,awesome-awesomeness|the-book-of-secret-knowledge|awesome-flutter|awesome-public-datasets|Awesome-Hacking,4,0.8,0.4,1,1.0,1.0
leave_one_out,awesome,graph,awesome-awesomeness|the-book-of-secret-knowledge|awesome-ios|awesome-javascript|awesome-android-ui|awesome-flutter|awesome-cpp|Awesome-Hacking|awesome-python|awesome-vue,awesome-ios|awesome-android-ui|awesome-machine-learning|awesome-go|awesome-python,3,0.6,0.3,1,1.0,1.0
leave_one_out,awesome,hybrid,awesome-awesomeness|the-book-of-secret-knowledge|awesome-ios|awesome-javascript|awesome-android-ui|awesome-flutter|awesome-cpp|Awesome-Hacking|awesome-python|awesome-vue,awesome-awesomeness|awesome-ios|awesome-android-ui|awesome-python|awesome-go,4,0.8,0.4,1,1.0,1.0
leave_one_out,awesome,ollama,awesome-awesomeness|the-book-of-secret-knowledge|awesome-ios|awesome-javascript|awesome-android-ui|awesome-flutter|awesome-cpp|Awesome-Hacking|awesome-python|awesome-vue,freeCodeCamp|free-programming-books|coding-interview-university|public-apis|developer-roadmap,0,0.0,0.0,0,,0.0
leave_one_out,996.ICU,semantic,first-contributions|HelloGitHub|github-cheat-sheet|git|nerd-fonts|vim|rust|github-readme-stats|realworld|resume.github.com,the-book-of-secret-knowledge|HelloGitHub|first-contributions|github-cheat-sheet|vim,4,0.8,0.4,1,2.0,0.5
leave_one_out,996.ICU,graph,first-contributions|HelloGitHub|github-cheat-sheet|git|nerd-fonts|vim|rust|github-readme-stats|realworld|resume.github.com,Prompt-Engineering-Guide|cheat.sh|SecLists|every-programmer-should-know|tldr,0,0.0,0.0,0,,0.0
leave_one_out,996.ICU,hybrid,first-contributions|HelloGitHub|github-cheat-sheet|git|nerd-fonts|vim|rust|github-readme-stats|realworld|resume.github.com,the-book-of-secret-knowledge|first-contributions|every-programmer-should-know|developer-roadmap|freeCodeCamp,1,0.2,0.1,1,2.0,0.5
leave_one_out,996.ICU,ollama,first-contributions|HelloGitHub|github-cheat-sheet|git|nerd-fonts|vim|rust|github-readme-stats|realworld|resume.github.com,freeCodeCamp|free-programming-books|coding-interview-university|public-apis|developer-roadmap,0,0.0,0.0,0,,0.0
leave_one_out,coding-interview-university,semantic,awesome-courses|build-your-own-x|cs-video-courses|computer-science|tech-interview-handbook|every-programmer-should-know|free-programming-books|Web-Dev-For-Beginners|system-design-primer|Made-With-ML,awesome-courses|build-your-own-x|cs-video-courses|tech-interview-handbook|computer-science,5,1.0,0.5,1,1.0,1.0
